APMC,Commodity,Year,Count
aheri,cotton,2015,6
aheri,cotton,2016,5
aheri,gram,2014,3
aheri,gram,2015,4
aheri,gram,2016,4
aheri,green gram,2014,1
aheri,green gram,2015,6
aheri,green gram,2016,6
aheri,ground nut pods dry,2015,1
aheri,ground nut pods dry,2016,4
aheri,horse gram,2015,2
aheri,indian bean,2015,4
aheri,indian bean,2016,1
aheri,linseed,2015,2
aheri,linseed,2016,1
aheri,maize,2014,2
aheri,maize,2015,11
aheri,maize,2016,9
aheri,matki,2014,1
aheri,matki,2015,2
aheri,matki,2016,3
aheri,paddyunhusked,2014,4
aheri,paddyunhusked,2015,11
aheri,paddyunhusked,2016,11
aheri,pigeon pea tur,2014,2
aheri,pigeon pea tur,2015,6
aheri,pigeon pea tur,2016,10
aheri,ricepaddyhus,2014,3
aheri,ricepaddyhus,2015,6
aheri,ricepaddyhus,2016,9
aheri,sesamum,2014,1
aheri,sesamum,2015,5
aheri,sesamum,2016,5
aheri,sorgumjawar,2014,4
aheri,sorgumjawar,2015,7
aheri,sorgumjawar,2016,4
aheri,soybean,2014,2
aheri,soybean,2015,7
aheri,soybean,2016,9
ahmednagar,bajri,2014,2
ahmednagar,bajri,2015,11
ahmednagar,bajri,2016,10
ahmednagar,bitter gourd,2015,7
ahmednagar,bitter gourd,2016,10
ahmednagar,black gram,2014,1
ahmednagar,black gram,2015,10
ahmednagar,black gram,2016,7
ahmednagar,bottle gourd,2015,7
ahmednagar,bottle gourd,2016,9
ahmednagar,brinjal,2015,7
ahmednagar,brinjal,2016,10
ahmednagar,cabbage,2015,7
ahmednagar,cabbage,2016,10
ahmednagar,capsicum,2015,5
ahmednagar,capsicum,2016,10
ahmednagar,carrot,2015,4
ahmednagar,carrot,2016,10
ahmednagar,castor seed,2015,5
ahmednagar,castor seed,2016,1
ahmednagar,chikoo,2016,1
ahmednagar,chilliesred,2015,4
ahmednagar,chilliesred,2016,5
ahmednagar,cluster bean,2015,7
ahmednagar,cluster bean,2016,10
ahmednagar,coriander  ,2015,1
ahmednagar,coriander  ,2016,2
ahmednagar,coriander dry,2015,2
ahmednagar,coriander dry,2016,6
ahmednagar,cowpea,2015,6
ahmednagar,cowpea,2016,3
ahmednagar,cucumber,2015,7
ahmednagar,cucumber,2016,10
ahmednagar,custard apple,2015,1
ahmednagar,flower,2015,7
ahmednagar,flower,2016,10
ahmednagar,garlic,2015,7
ahmednagar,garlic,2016,10
ahmednagar,ghevda,2015,7
ahmednagar,ghevda,2016,9
ahmednagar,ghosalibhaji,2015,7
ahmednagar,ghosalibhaji,2016,10
ahmednagar,ginger fresh,2015,7
ahmednagar,ginger fresh,2016,10
ahmednagar,gram,2014,1
ahmednagar,gram,2015,11
ahmednagar,gram,2016,10
ahmednagar,green chilli,2015,7
ahmednagar,green chilli,2016,10
ahmednagar,green gram,2014,1
ahmednagar,green gram,2015,8
ahmednagar,green gram,2016,9
ahmednagar,green peas dry,2015,2
ahmednagar,green peas dry,2016,4
ahmednagar,ground nut pods dry,2015,5
ahmednagar,ground nut pods dry,2016,6
ahmednagar,horse gram,2014,1
ahmednagar,horse gram,2015,2
ahmednagar,horse gram,2016,3
ahmednagar,jaggery,2015,3
ahmednagar,jaggery,2016,5
ahmednagar,ladies finger,2015,7
ahmednagar,ladies finger,2016,10
ahmednagar,lemon,2015,7
ahmednagar,lemon,2016,10
ahmednagar,maize,2014,1
ahmednagar,maize,2015,10
ahmednagar,maize,2016,10
ahmednagar,maize corn,2016,1
ahmednagar,maizecorn,2015,2
ahmednagar,maizecorn,2016,6
ahmednagar,mango,2016,1
ahmednagar,mangoraw,2016,3
ahmednagar,math bhaji,2016,1
ahmednagar,matki,2014,1
ahmednagar,matki,2015,4
ahmednagar,matki,2016,5
ahmednagar,mosambi,2015,1
ahmednagar,mosambi,2016,1
ahmednagar,mustard,2015,6
ahmednagar,mustard,2016,1
ahmednagar,onion,2014,2
ahmednagar,onion,2015,6
ahmednagar,onion,2016,11
ahmednagar,orange,2015,1
ahmednagar,orange,2016,1
ahmednagar,pigeon pea tur,2014,1
ahmednagar,pigeon pea tur,2015,11
ahmednagar,pigeon pea tur,2016,10
ahmednagar,pomegranate,2015,1
ahmednagar,pomegranate,2016,1
ahmednagar,potato,2015,7
ahmednagar,potato,2016,10
ahmednagar,sorgumjawar,2014,2
ahmednagar,sorgumjawar,2015,11
ahmednagar,sorgumjawar,2016,10
ahmednagar,soybean,2014,1
ahmednagar,soybean,2015,6
ahmednagar,soybean,2016,6
ahmednagar,spinach,2015,5
ahmednagar,spinach,2016,1
ahmednagar,squash gourd,2016,6
ahmednagar,tamarind,2015,6
ahmednagar,tamarind,2016,6
ahmednagar,tamarind seed,2015,3
ahmednagar,tamarind seed,2016,4
ahmednagar,tomato,2015,7
ahmednagar,tomato,2016,10
ahmednagar,water melon,2016,1
ahmednagar,wheathusked,2014,1
ahmednagar,wheathusked,2015,11
ahmednagar,wheathusked,2016,9
ahmedpur,bajri,2014,1
ahmedpur,bajri,2015,4
ahmedpur,bajri,2016,11
ahmedpur,black gram,2014,2
ahmedpur,black gram,2015,6
ahmedpur,black gram,2016,6
ahmedpur,castor seed,2015,2
ahmedpur,castor seed,2016,1
ahmedpur,coriander dry,2014,1
ahmedpur,coriander dry,2016,1
ahmedpur,gram,2014,2
ahmedpur,gram,2015,7
ahmedpur,gram,2016,11
ahmedpur,green gram,2014,2
ahmedpur,green gram,2015,6
ahmedpur,green gram,2016,9
ahmedpur,ground nut pods dry,2014,2
ahmedpur,ground nut pods dry,2015,7
ahmedpur,ground nut pods dry,2016,7
ahmedpur,hempseed,2014,1
ahmedpur,hempseed,2015,5
ahmedpur,hempseed,2016,3
ahmedpur,maize,2014,2
ahmedpur,maize,2015,7
ahmedpur,maize,2016,9
ahmedpur,mustard,2015,2
ahmedpur,mustard,2016,1
ahmedpur,neemseed,2015,4
ahmedpur,neemseed,2016,2
ahmedpur,nigerseed,2014,1
ahmedpur,nigerseed,2015,4
ahmedpur,nigerseed,2016,1
ahmedpur,paddyunhusked,2014,1
ahmedpur,paddyunhusked,2015,5
ahmedpur,pigeon pea tur,2014,2
ahmedpur,pigeon pea tur,2015,7
ahmedpur,pigeon pea tur,2016,11
ahmedpur,ricepaddyhus,2014,1
ahmedpur,ricepaddyhus,2015,1
ahmedpur,ricepaddyhus,2016,4
ahmedpur,safflower,2014,1
ahmedpur,safflower,2015,7
ahmedpur,safflower,2016,7
ahmedpur,sesamum,2014,2
ahmedpur,sesamum,2015,7
ahmedpur,sesamum,2016,7
ahmedpur,sorgumjawar,2014,2
ahmedpur,sorgumjawar,2015,7
ahmedpur,sorgumjawar,2016,11
ahmedpur,soybean,2014,2
ahmedpur,soybean,2015,7
ahmedpur,soybean,2016,11
ahmedpur,spilt pigeon pea,2015,2
ahmedpur,spilt pigeon pea,2016,1
ahmedpur,sunflower,2014,2
ahmedpur,sunflower,2015,7
ahmedpur,sunflower,2016,11
ahmedpur,tamarind,2015,3
ahmedpur,tamarind,2016,2
ahmedpur,tamarind seed,2015,3
ahmedpur,tamarind seed,2016,2
ahmedpur,wheathusked,2014,2
ahmedpur,wheathusked,2015,7
ahmedpur,wheathusked,2016,11
akhadabalapur,black gram,2015,2
akhadabalapur,black gram,2016,2
akhadabalapur,castor seed,2015,3
akhadabalapur,castor seed,2016,4
akhadabalapur,cotton,2014,2
akhadabalapur,cotton,2015,6
akhadabalapur,cotton,2016,4
akhadabalapur,gram,2014,4
akhadabalapur,gram,2015,11
akhadabalapur,gram,2016,11
akhadabalapur,green gram,2015,2
akhadabalapur,green gram,2016,1
akhadabalapur,ground nut pods dry,2014,1
akhadabalapur,ground nut pods dry,2015,1
akhadabalapur,pigeon pea tur,2014,4
akhadabalapur,pigeon pea tur,2015,10
akhadabalapur,pigeon pea tur,2016,8
akhadabalapur,sorgumjawar,2014,3
akhadabalapur,sorgumjawar,2015,10
akhadabalapur,sorgumjawar,2016,9
akhadabalapur,soybean,2014,4
akhadabalapur,soybean,2015,12
akhadabalapur,soybean,2016,11
akhadabalapur,turmeric,2014,3
akhadabalapur,turmeric,2015,8
akhadabalapur,turmeric,2016,5
akhadabalapur,wheathusked,2014,4
akhadabalapur,wheathusked,2015,11
akhadabalapur,wheathusked,2016,9
akkalkuwa,gram,2015,2
akkalkuwa,gram,2016,1
akkalkuwa,green gram,2015,2
akkalkuwa,green gram,2016,1
akkalkuwa,maize,2015,3
akkalkuwa,maize,2016,3
akkalkuwa,other cereals,2015,1
akkalkuwa,pigeon pea tur,2016,2
akkalkuwa,sorgumjawar,2015,4
akkalkuwa,sorgumjawar,2016,3
akkalkuwa,wheathusked,2015,4
akkalkuwa,wheathusked,2016,2
akkolkot,bajri,2014,2
akkolkot,bajri,2015,4
akkolkot,bajri,2016,3
akkolkot,black gram,2014,3
akkolkot,black gram,2015,3
akkolkot,black gram,2016,5
akkolkot,cowpea,2016,1
akkolkot,gram,2014,2
akkolkot,gram,2015,8
akkolkot,gram,2016,8
akkolkot,green gram,2014,3
akkolkot,green gram,2015,5
akkolkot,green gram,2016,4
akkolkot,maize,2014,1
akkolkot,maize,2015,2
akkolkot,maize,2016,3
akkolkot,paddyunhusked,2015,1
akkolkot,paddyunhusked,2016,1
akkolkot,pigeon pea tur,2014,2
akkolkot,pigeon pea tur,2015,8
akkolkot,pigeon pea tur,2016,8
akkolkot,sesamum,2016,1
akkolkot,sorgumjawar,2014,1
akkolkot,sorgumjawar,2015,2
akkolkot,sorgumjawar,2016,2
akkolkot,wheathusked,2014,1
akkolkot,wheathusked,2015,3
akkolkot,wheathusked,2016,2
akkolkot,wheatunhusked,2014,1
akkolkot,wheatunhusked,2015,7
akkolkot,wheatunhusked,2016,5
akluj,bajri,2014,4
akluj,bajri,2015,5
akluj,bajri,2016,3
akluj,banana,2014,4
akluj,banana,2015,10
akluj,banana,2016,9
akluj,bitter gourd,2014,4
akluj,bitter gourd,2015,12
akluj,bitter gourd,2016,11
akluj,bor,2014,4
akluj,bor,2015,8
akluj,bor,2016,6
akluj,brinjal,2014,4
akluj,brinjal,2015,12
akluj,brinjal,2016,11
akluj,buffalo,2016,1
akluj,cabbage,2014,4
akluj,cabbage,2015,12
akluj,cabbage,2016,11
akluj,carrot,2014,2
akluj,carrot,2015,11
akluj,carrot,2016,11
akluj,chikoo,2014,4
akluj,chikoo,2015,12
akluj,chikoo,2016,11
akluj,chilliesred,2014,4
akluj,chilliesred,2015,12
akluj,chilliesred,2016,8
akluj,cluster bean,2015,1
akluj,cluster bean,2016,2
akluj,coriander  ,2014,3
akluj,coriander  ,2015,5
akluj,coriander  ,2016,6
akluj,garlic,2014,4
akluj,garlic,2015,12
akluj,garlic,2016,11
akluj,ghevda,2016,1
akluj,goats,2016,2
akluj,gram,2014,4
akluj,gram,2015,9
akluj,gram,2016,4
akluj,greenpeas,2014,2
akluj,ground nut pods dry,2014,3
akluj,ground nut pods dry,2015,10
akluj,ground nut pods dry,2016,8
akluj,ladies finger,2014,4
akluj,ladies finger,2015,12
akluj,ladies finger,2016,11
akluj,lemon,2015,5
akluj,lemon,2016,3
akluj,maize,2014,4
akluj,maize,2015,12
akluj,maize,2016,8
akluj,math bhaji,2015,2
akluj,math bhaji,2016,2
akluj,onion,2014,4
akluj,onion,2015,10
akluj,onion,2016,11
akluj,pigeon pea tur,2015,2
akluj,pigeon pea tur,2016,1
akluj,pomegranate,2015,1
akluj,potato,2014,1
akluj,potato,2015,12
akluj,potato,2016,11
akluj,shepu,2015,1
akluj,shepu,2016,4
akluj,shevga,2014,4
akluj,shevga,2015,12
akluj,shevga,2016,11
akluj,skin  bones,2016,1
akluj,sorgumjawar,2014,3
akluj,sorgumjawar,2015,9
akluj,sorgumjawar,2016,2
akluj,soybean,2014,1
akluj,soybean,2015,1
akluj,spinach,2014,1
akluj,spinach,2016,2
akluj,tamarind,2014,1
akluj,tamarind,2015,3
akluj,tomato,2014,4
akluj,tomato,2015,12
akluj,tomato,2016,9
akluj,water melon,2014,2
akluj,water melon,2015,12
akluj,water melon,2016,11
akluj,wheathusked,2014,4
akluj,wheathusked,2015,9
akluj,wheathusked,2016,5
akluj,wheatunhusked,2015,1
akola,bajri,2015,7
akola,bajri,2016,7
akola,batbati,2016,6
akola,black gram,2014,3
akola,black gram,2015,11
akola,black gram,2016,11
akola,gram,2014,3
akola,gram,2015,11
akola,gram,2016,11
akola,green gram,2014,3
akola,green gram,2015,11
akola,green gram,2016,11
akola,ground nut pods dry,2016,3
akola,maize,2015,6
akola,maize,2016,10
akola,mustard,2015,2
akola,mustard,2016,1
akola,pigeon pea tur,2014,3
akola,pigeon pea tur,2015,11
akola,pigeon pea tur,2016,11
akola,ricepaddyhus,2016,4
akola,safflower,2015,5
akola,safflower,2016,4
akola,sesamum,2015,6
akola,sesamum,2016,3
akola,sorgumjawar,2014,3
akola,sorgumjawar,2015,11
akola,sorgumjawar,2016,11
akola,soybean,2014,3
akola,soybean,2015,11
akola,soybean,2016,11
akola,sunflower,2015,4
akola,sunflower,2016,4
akola,wheathusked,2014,3
akola,wheathusked,2015,11
akola,wheathusked,2016,11
akole,bajri,2014,4
akole,bajri,2015,12
akole,bajri,2016,11
akole,bhagarvari,2014,4
akole,bhagarvari,2015,1
akole,bhagarvari,2016,1
akole,gram,2014,4
akole,gram,2015,12
akole,gram,2016,10
akole,hilda,2016,4
akole,maize,2014,1
akole,maize,2015,3
akole,maize,2016,4
akole,onion,2014,4
akole,onion,2015,10
akole,onion,2016,11
akole,paddyunhusked,2014,4
akole,paddyunhusked,2015,12
akole,paddyunhusked,2016,11
akole,soybean,2014,4
akole,soybean,2015,12
akole,soybean,2016,11
akole,tomato,2014,2
akole,tomato,2015,5
akole,tomato,2016,2
akole,wheathusked,2014,4
akole,wheathusked,2015,12
akole,wheathusked,2016,11
akot,black gram,2015,7
akot,black gram,2016,10
akot,cotton,2015,4
akot,cotton,2016,7
akot,gram,2015,9
akot,gram,2016,11
akot,green gram,2015,6
akot,green gram,2016,9
akot,ground nut pods dry,2015,3
akot,ground nut pods dry,2016,6
akot,maize,2015,7
akot,maize,2016,9
akot,pigeon pea tur,2015,9
akot,pigeon pea tur,2016,11
akot,sesamum,2015,3
akot,sesamum,2016,4
akot,sorgumjawar,2015,9
akot,sorgumjawar,2016,11
akot,soybean,2015,9
akot,soybean,2016,11
akot,sunflower,2015,4
akot,sunflower,2016,3
akot,thymollovage,2015,5
akot,thymollovage,2016,9
akot,wheathusked,2015,9
akot,wheathusked,2016,11
alibag,coconut,2016,5
alibag,paddyunhusked,2015,7
alibag,paddyunhusked,2016,11
alibag,ricepaddyhus,2014,4
alibag,ricepaddyhus,2015,12
alibag,ricepaddyhus,2016,11
amalner,bajri,2014,3
amalner,bajri,2015,6
amalner,bajri,2016,11
amalner,black gram,2014,3
amalner,black gram,2015,4
amalner,black gram,2016,10
amalner,chilliesred,2016,2
amalner,coriander dry,2014,3
amalner,coriander dry,2015,5
amalner,coriander dry,2016,9
amalner,cotton,2015,1
amalner,cowpea,2015,2
amalner,cowpea,2016,4
amalner,gram,2014,3
amalner,gram,2015,6
amalner,gram,2016,10
amalner,green gram,2014,3
amalner,green gram,2015,6
amalner,green gram,2016,11
amalner,ground nut pods dry,2016,7
amalner,maize,2014,3
amalner,maize,2015,6
amalner,maize,2016,11
amalner,matki,2015,1
amalner,matki,2016,1
amalner,onion,2016,3
amalner,pigeon pea tur,2014,2
amalner,pigeon pea tur,2015,4
amalner,pigeon pea tur,2016,10
amalner,sesamum,2014,1
amalner,sesamum,2015,1
amalner,sesamum,2016,6
amalner,sorgumjawar,2014,3
amalner,sorgumjawar,2015,6
amalner,sorgumjawar,2016,11
amalner,soybean,2014,1
amalner,soybean,2015,3
amalner,soybean,2016,10
amalner,wheathusked,2014,3
amalner,wheathusked,2015,6
amalner,wheathusked,2016,11
amarawati,amba koy,2016,3
amarawati,apple,2015,5
amarawati,apple,2016,10
amarawati,awala,2014,1
amarawati,bajri,2015,9
amarawati,bajri,2016,11
amarawati,beet root,2015,3
amarawati,beet root,2016,10
amarawati,bitter gourd,2015,5
amarawati,bitter gourd,2016,10
amarawati,black gram,2014,2
amarawati,black gram,2015,12
amarawati,black gram,2016,11
amarawati,bor,2015,1
amarawati,bor,2016,2
amarawati,brinjal,2014,1
amarawati,brinjal,2015,8
amarawati,brinjal,2016,10
amarawati,bullock heart,2016,1
amarawati,cabbage,2015,8
amarawati,cabbage,2016,7
amarawati,capsicum,2016,10
amarawati,carrot,2015,5
amarawati,carrot,2016,10
amarawati,chikoo,2015,5
amarawati,chikoo,2016,10
amarawati,chilliesred,2015,5
amarawati,chilliesred,2016,8
amarawati,cluster bean,2015,5
amarawati,cluster bean,2016,10
amarawati,coriander  ,2015,5
amarawati,coriander  ,2016,10
amarawati,cotton,2015,2
amarawati,cotton,2016,7
amarawati,cucumber,2015,3
amarawati,cucumber,2016,10
amarawati,custard apple,2015,1
amarawati,dhemse,2015,5
amarawati,dhemse,2016,10
amarawati,flower,2015,4
amarawati,flower,2016,4
amarawati,garlic,2014,1
amarawati,garlic,2015,8
amarawati,garlic,2016,10
amarawati,ginger fresh,2014,1
amarawati,ginger fresh,2015,8
amarawati,ginger fresh,2016,10
amarawati,gram,2014,3
amarawati,gram,2015,12
amarawati,gram,2016,11
amarawati,grapes,2016,5
amarawati,green chilli,2015,5
amarawati,green chilli,2016,10
amarawati,green gram,2014,3
amarawati,green gram,2015,12
amarawati,green gram,2016,11
amarawati,greenpeas,2015,1
amarawati,greenpeas,2016,3
amarawati,ground nut pods dry,2014,1
amarawati,ground nut pods dry,2015,8
amarawati,ground nut pods dry,2016,8
amarawati,guava,2015,5
amarawati,guava,2016,1
amarawati,harbarapendi,2015,2
amarawati,harbarapendi,2016,2
amarawati,jambhul,2016,2
amarawati,kharbuj,2016,6
amarawati,ladies finger,2015,4
amarawati,ladies finger,2016,10
amarawati,lemon,2015,5
amarawati,lemon,2016,10
amarawati,linseed,2015,9
amarawati,linseed,2016,9
amarawati,maize,2014,1
amarawati,maize,2015,11
amarawati,maize,2016,11
amarawati,maizecorn,2015,4
amarawati,maizecorn,2016,2
amarawati,mango,2016,4
amarawati,mangoraw,2016,2
amarawati,math bhaji,2014,1
amarawati,math bhaji,2015,6
amarawati,math bhaji,2016,10
amarawati,melon,2016,7
amarawati,mosambi,2014,1
amarawati,mosambi,2015,8
amarawati,mosambi,2016,8
amarawati,naspatti ,2016,2
amarawati,onion,2014,1
amarawati,onion,2015,7
amarawati,onion,2016,10
amarawati,orange,2014,1
amarawati,orange,2015,8
amarawati,orange,2016,6
amarawati,papai,2014,1
amarawati,papai,2015,8
amarawati,papai,2016,10
amarawati,papnas,2015,1
amarawati,pigeon pea tur,2014,3
amarawati,pigeon pea tur,2015,12
amarawati,pigeon pea tur,2016,11
amarawati,pineapple,2015,1
amarawati,pineapple,2016,4
amarawati,pomegranate,2015,5
amarawati,pomegranate,2016,10
amarawati,potato,2014,1
amarawati,potato,2015,8
amarawati,potato,2016,10
amarawati,pumpkin,2015,3
amarawati,pumpkin,2016,10
amarawati,sesamum,2015,9
amarawati,sesamum,2016,11
amarawati,sorgumjawar,2014,3
amarawati,sorgumjawar,2015,12
amarawati,sorgumjawar,2016,11
amarawati,soybean,2014,3
amarawati,soybean,2015,12
amarawati,soybean,2016,11
amarawati,spinach,2014,1
amarawati,spinach,2015,8
amarawati,spinach,2016,10
amarawati,sunflower,2015,7
amarawati,tomato,2014,1
amarawati,tomato,2015,8
amarawati,tomato,2016,10
amarawati,wheathusked,2014,3
amarawati,wheathusked,2015,12
amarawati,wheathusked,2016,11
amarawatifruit and vegetables,apple,2016,11
amarawatifruit and vegetables,beet root,2016,11
amarawatifruit and vegetables,bitter gourd,2016,11
amarawatifruit and vegetables,bor,2016,3
amarawatifruit and vegetables,brinjal,2016,11
amarawatifruit and vegetables,cabbage,2016,7
amarawatifruit and vegetables,capsicum,2016,3
amarawatifruit and vegetables,carrot,2016,11
amarawatifruit and vegetables,chavli shenga ,2016,2
amarawatifruit and vegetables,chikoo,2016,10
amarawatifruit and vegetables,cluster bean,2016,4
amarawatifruit and vegetables,coriander ,2016,1
amarawatifruit and vegetables,coriander  ,2016,7
amarawatifruit and vegetables,cucumber,2016,11
amarawatifruit and vegetables,custard apple,2016,2
amarawatifruit and vegetables,dhemse,2016,6
amarawatifruit and vegetables,flower,2016,6
amarawatifruit and vegetables,garlic,2016,11
amarawatifruit and vegetables,ginger fresh,2016,11
amarawatifruit and vegetables,grapes,2016,4
amarawatifruit and vegetables,green chilli,2016,6
amarawatifruit and vegetables,greenpeas,2016,4
amarawatifruit and vegetables,jambhul,2016,1
amarawatifruit and vegetables,kharbuj,2016,5
amarawatifruit and vegetables,ladies finger,2016,4
amarawatifruit and vegetables,lemon,2016,10
amarawatifruit and vegetables,maizecorn,2016,2
amarawatifruit and vegetables,mango,2016,3
amarawatifruit and vegetables,melon,2016,7
amarawatifruit and vegetables,methi bhaji,2016,11
amarawatifruit and vegetables,mosambi,2016,8
amarawatifruit and vegetables,naspatti ,2016,2
amarawatifruit and vegetables,onion,2016,11
amarawatifruit and vegetables,orange,2016,9
amarawatifruit and vegetables,papai,2016,11
amarawatifruit and vegetables,pomegranate,2016,11
amarawatifruit and vegetables,potato,2016,11
amarawatifruit and vegetables,pumpkin,2016,6
amarawatifruit and vegetables,spinach,2016,11
amarawatifruit and vegetables,tomato,2016,11
ambadvadi godri,bajri,2014,2
ambadvadi godri,bajri,2015,7
ambadvadi godri,bajri,2016,10
ambadvadi godri,black gram,2016,1
ambadvadi godri,cotton,2014,1
ambadvadi godri,gram,2015,2
ambadvadi godri,gram,2016,7
ambadvadi godri,green gram,2015,2
ambadvadi godri,green gram,2016,3
ambadvadi godri,maize,2014,2
ambadvadi godri,maize,2015,3
ambadvadi godri,maize,2016,4
ambadvadi godri,pigeon pea tur,2014,1
ambadvadi godri,pigeon pea tur,2015,5
ambadvadi godri,pigeon pea tur,2016,6
ambadvadi godri,sorgumjawar,2014,2
ambadvadi godri,sorgumjawar,2015,7
ambadvadi godri,sorgumjawar,2016,10
ambadvadi godri,soybean,2014,2
ambadvadi godri,soybean,2015,3
ambadvadi godri,soybean,2016,2
ambadvadi godri,tamarind,2016,2
ambadvadi godri,wheathusked,2014,2
ambadvadi godri,wheathusked,2015,7
ambadvadi godri,wheathusked,2016,10
ambejogai,bajri,2014,4
ambejogai,bajri,2015,7
ambejogai,bajri,2016,3
ambejogai,black gram,2014,4
ambejogai,black gram,2015,8
ambejogai,black gram,2016,4
ambejogai,castor seed,2014,1
ambejogai,gram,2014,4
ambejogai,gram,2015,12
ambejogai,gram,2016,11
ambejogai,green gram,2014,4
ambejogai,green gram,2015,7
ambejogai,green gram,2016,4
ambejogai,maize,2014,2
ambejogai,maize,2015,2
ambejogai,pigeon pea tur,2014,4
ambejogai,pigeon pea tur,2015,12
ambejogai,pigeon pea tur,2016,11
ambejogai,safflower,2014,3
ambejogai,safflower,2015,4
ambejogai,sesamum,2014,3
ambejogai,sesamum,2015,8
ambejogai,sesamum,2016,4
ambejogai,sorgumjawar,2014,4
ambejogai,sorgumjawar,2015,11
ambejogai,sorgumjawar,2016,11
ambejogai,soybean,2014,4
ambejogai,soybean,2015,12
ambejogai,soybean,2016,11
ambejogai,sunflower,2014,4
ambejogai,sunflower,2015,7
ambejogai,sunflower,2016,1
ambejogai,wheathusked,2014,4
ambejogai,wheathusked,2015,10
ambejogai,wheathusked,2016,1
anajngaon surji,banana,2014,4
anajngaon surji,banana,2015,12
anajngaon surji,banana,2016,10
anajngaon surji,black gram,2014,3
anajngaon surji,black gram,2015,5
anajngaon surji,black gram,2016,4
anajngaon surji,chilliesred,2014,4
anajngaon surji,chilliesred,2015,12
anajngaon surji,chilliesred,2016,10
anajngaon surji,cotton,2014,1
anajngaon surji,cotton,2015,2
anajngaon surji,gram,2014,4
anajngaon surji,gram,2015,12
anajngaon surji,gram,2016,11
anajngaon surji,green gram,2014,4
anajngaon surji,green gram,2015,6
anajngaon surji,green gram,2016,4
anajngaon surji,ground nut pods dry,2015,1
anajngaon surji,ground nut pods dry,2016,3
anajngaon surji,he buffalo,2016,1
anajngaon surji,pigeon pea tur,2014,4
anajngaon surji,pigeon pea tur,2015,12
anajngaon surji,pigeon pea tur,2016,11
anajngaon surji,sesamum,2014,1
anajngaon surji,sesamum,2015,2
anajngaon surji,sorgumjawar,2014,4
anajngaon surji,sorgumjawar,2015,12
anajngaon surji,sorgumjawar,2016,11
anajngaon surji,soybean,2014,4
anajngaon surji,soybean,2015,12
anajngaon surji,soybean,2016,11
anajngaon surji,sunflower,2014,2
anajngaon surji,sunflower,2015,4
anajngaon surji,sunflower,2016,1
anajngaon surji,wheathusked,2014,4
anajngaon surji,wheathusked,2015,12
anajngaon surji,wheathusked,2016,11
arjuni morgaon,paddyunhusked,2014,4
arjuni morgaon,paddyunhusked,2015,12
arjuni morgaon,paddyunhusked,2016,11
armori,chilliesred,2015,2
armori,chilliesred,2016,2
armori,ground nut pods dry,2015,4
armori,ground nut pods dry,2016,3
armori,paddyunhusked,2014,4
armori,paddyunhusked,2015,12
armori,paddyunhusked,2016,11
armoridesaiganj,chilliesred,2014,2
armoridesaiganj,chilliesred,2015,6
armoridesaiganj,chilliesred,2016,6
armoridesaiganj,paddyunhusked,2014,4
armoridesaiganj,paddyunhusked,2015,12
armoridesaiganj,paddyunhusked,2016,11
arvi,cotton,2014,3
arvi,cotton,2015,9
arvi,cotton,2016,8
arvi,gram,2015,5
arvi,gram,2016,6
